cn,en,count
有码,censored,266107
灰色头发,grey hair,265804
褶边,frilled,263037
嘴唇微张,parted lips,258771
分离式袖子,detached sleeves,257851
一只眼睛闭着,one eye closed,256767
在户外,outdoors,256217
食物,food,255326
日本服饰,japanese clothes,252160
多个男孩,multiple boys,247835
绿色头发,green hair,247581
翅膀,wings,246750
敞开衣服,open clothes,244122
天空,sky,241306
领带,necktie,240752
喇叭,horns,238138
阴茎,penis,236205
鞋,shoes,235952
命运（系列）,fate (series),232867
眼镜,glasses,230705
赤脚,barefoot,225387
短裤,shorts,224615
水手服,serafuku,220443
小穴,pussy,217981
牙齿,teeth,216171
天,day,212348
聚焦单人,solo focus,212179
无袖的,sleeveless,211023
颈圈,choker,209835
修改服装,alternate costume,209307
舌头,tongue,208809
尖耳朵,pointy ears,202516
袜子,socks,202362
黑色手套,black gloves,199776
肘部手套,elbow gloves,195056
发夹,hairclip,194174
虎牙,fang,191398
有条纹的,striped,188474
肚脐,midriff,187765
蓬松的袖子,puffy sleeves,184313
闪亮的,shiny,182139
看着背后,looking back,181185
腰带,belt,179901
剑,sword,177281
有领衬衫,collared shirt,174204
官方艺术作品,official art,173824
裤子,pants,172653
云,cloud,171401
艺术家姓名,artist name,170047
银色头发,silver hair,169353
黑色长筒袜,black thighhighs,167338
眼泪,tears,165102
命运/冠位指定,fate/grand order,164452
在室内,indoors,163949
猫耳朵,cat ears,163860
白色手套,white gloves,161364
3个女孩,3girls,159570
头花,hair flower,158085
虚拟Youtuber,virtual youtuber,157796
签名,signature,157192
黑皮,dark skin,156013
举起手,hand up,155346
张开双腿,spread legs,153846
精液,cum,153452
2个男孩,2boys,152087
兜帽,hood,151133
偶像大师,idolmaster,150970
性交,sex,150267
迷你裙,miniskirt,149972
宽袖,wide sleeves,149085
伸出舌头,tongue out,148559
无指手套,fingerless gloves,148164
在背面,on back,148125
齐刘海,blunt bangs,146215
黑色短裙,black skirt,145935
领结,bowtie,145915
腋窝,armpits,145624
粉色眼睛,pink eyes,144875
水手领,sailor collar,142722
和服,kimono,141475
英文解说,english commentary,141156
黑色紧身裤,black legwear,140642
宝可梦,pokemon,139428
中发,medium hair,139120
水,water,137475
灰色背景,grey background,135897
项链,necklace,134647
Q版小人,chibi,131479
露肩,off shoulder,131366
包,bag,130852
发髻,hair bun,130235
拉起衣服,clothes lift,130127
围巾,scarf,129645
披肩,cape,129597
从后面（看）,from behind,129444
星星（符号）,star (symbol),129280
Twitter 用户名,twitter username,127746
胸罩,bra,127486
百合,yuri,127253
小腹,stomach,127212
指甲油,nail polish,126690
汗珠,sweatdrop,126017
橙色头发,orange hair,125378
盔甲,armor,125241
白色连衣裙,white dress,125227
拿着武器,holding weapon,124826
黑色鞋类,black footwear,124749
白色内裤,white panties,124171
兔耳朵,rabbit ears,123685
痣,mole,120941
制服,uniform,120421
头发遮住一只眼睛,hair over one eye,120191
咧嘴笑,grin,120043
:o,:o,119305
巨大的胸部,huge breasts,118350
角色名字,character name,118123
黑色眼睛,black eyes,117823
围裙,apron,117739
模糊,blurry,117649
看着另一个,looking at another,115571
背心,vest,114194
黑色连衣裙,black dress,112102
高跟鞋,high heels,111663
武装,arm up,111522
双辫子,twin braids,111295
阴道,vaginal,111263
马赛克打码,mosaic censoring,111160
红色领结,red bow,110998
平坦的胸部,flat chest,109719
举起武器,arms up,109138
侧马尾辫,side ponytail,108736
闪亮的头发,shiny hair,108666
手镯,bracelet,108516
遮住乳头,covered nipples,108420
衣领,collar,108155
脚,feet,105536
过时的,dated,105505
从侧面（看）,from side,104550
水色眼睛,aqua eyes,104519
V家（VOCALOID）,vocaloid,104098
毛衣,sweater,102346
白色长筒袜,white thighhighs,101685
对话框,speech bubble,101086
两色头发,two-tone hair,100964
紧身衣,leotard,100609
红色带子,red ribbon,99774
两面朝上,two side up,99506
英文文本,english text,98580
皮肤黝黑的女性,dark-skinned female,98558
草图,sketch,98068
树,tree,97967
敞开夹克,open jacket,97835
杯子,cup,97621
嘴唇,lips,97013
蓝色天空,blue sky,96958
蓬松的短袖,puffy short sleeves,96708
绝对领域,zettai ryouiki,95992
蓝色短裙,blue skirt,94360
hololive,hololive,92990
腹股沟,groin,92601
指甲,fingernails,91575
外套,coat,91458
弄湿,wet,91360
猫尾巴,cat tail,90731
错误的推特 ID,bad twitter id,90514
V字眉,v-shaped eyebrows,90092
白色紧身裤,white legwear,89878
头部倾斜,head tilt,89696
围巾,neckerchief,89678
黑色夹克,black jacket,88817
有条纹的头发,streaked hair,88765
官方备用服装,official alternate costume,88751
原神,genshin impact,88692
透视,see-through,88588
橙色眼睛,orange eyes,87500
碧蓝航线,azur lane,87494
手放在臀部,hand on hip,87408
坡度,gradient,87228
枪,gun,87224
有光泽的皮肤,shiny skin,87001
露脐服装,crop top,86661
偶像大师灰姑娘女孩,idolmaster cinderella girls,86230
手腕袖口,wrist cuffs,85732
枕头,pillow,85546
书,book,85505
动物耳朵绒毛,animal ear fluff,85383
确认艺术家,artist request,85122
格子,plaid,84719
撕裂的衣服,torn clothes,84717
女仆,maid,84584
手腕藏在袖子里面,sleeves past wrists,84578
看向一边,looking to the side,84061
及膝,kneehighs,83452
军队,military,83360
灰色眼睛,grey eyes,83330
围腰,sash,83198
分开的刘海,parted bangs,83043
宝可梦（游戏）,pokemon (game),82623
女仆帽,maid headdress,82494
腿,legs,82346
花瓣,petals,81946
角色扮演,cosplay,81666
黑色内裤,black panties,81380
黑色连裤袜,black pantyhose,80852
毛皮饰边,fur trim,80600
裸露手臂,bare arms,80571
阴毛,pubic hair,80147
举起双手,hands up,80031
连体泳衣,one-piece swimsuit,79851
渐变背景,gradient background,79339
符号形瞳孔,symbol-shaped pupils,79265
狐狸耳朵,fox ears,79230
萝莉,loli,79155
阿斯科特领结,ascot,78975
短裤,short shorts,78945
荷兰角,dutch angle,78264
剪裁衣服,clothing cutout,77114
黑色衬衫,black shirt,76355
睫毛,eyelashes,76065
敞开衬衫,open shirt,75886
裸露双脚,bare legs,75490
没有人类,no humans,75368
礼服衬衫,dress shirt,75140
低分辨率,lowres,75101
火花,sparkle,74901
条形打码,bar censor,74745
跪着,kneeling,74644
窗户,window,74545
眼睛下面有痣,mole under eye,74189
宝可梦（生物）,pokemon (creature),73845
4个女孩,4girls,73692
单辫,single braid,73265
拥抱,hug,73019
紧身衣裤,bodysuit,72934
V字手势,v,72590
不戴胸罩/无胸罩,no bra,72480
无袖上衣,sleeveless shirt,72199
钟,bell,72065
唾液,saliva,71940
丸子头,double bun,71791
无肩带的,strapless,71663
水色头发,aqua hair,71586
无码,uncensored,71026
军装,military uniform,70886
黑色丝带,black ribbon,70831
黑色头饰,black headwear,70413
床,bed,70378
md5 不匹配,md5 mismatch,70020
血液,blood,69756
扫描,scan,69705
初音未来,hatsune miku,69521
四格,4koma,69167
连帽衫,hoodie,69086
侧臂,sideboob,68975
爱液,pussy juice,68315
轮廓,profile,68308
全裸,completely nude,68276
肚脐,covered navel,67835
黑色蝴蝶结,black bow,67833
化妆品,makeup,67812
纹身,tattoo,67596
剥皮,skindentation,67546
身体前倾,leaning forward,67471
颈带,neck ribbon,67406
肌肉发达,muscular,66550
没有内裤,no panties,66463
大腿带,thigh strap,66443
面具,mask,66402
披肩,capelet,66285
渐变头发,gradient hair,66046
多个视图,multiple views,66006
女巫帽,witch hat,65903
版权名称,copyright name,65520
:3,:3,65286
肛门,anus,65143
修改发型,alternate hairstyle,65097
水果,fruit,65018
低胸,underboob,64917
明日方舟,arknights,64431
分离式衣领,detached collar,64173
景深,depth of field,63851
头巾,headband,63842
夜晚,night,63537
无袖连衣裙,sleeveless dress,63474
纽扣,buttons,63404
吹头发,hair blowing,63375
^_^,^_^,63335
骆驼趾,cameltoe,63116
版权请求,copyright request,62862
侧系带比基尼泳裤,side-tie bikini bottom,62460
蓝色连衣裙,blue dress,62423
狐狐狸尾巴,fox tail,62288
精液在小穴里,cum in pussy,62240
委员会,commission,62159
无底洞,bottomless,61779
脚趾,toes,61770
黑色比基尼,black bikini,61637
阴影,shadow,61569
鼻红,nose blush,61416
发光的,glowing,61371
红色短裙,red skirt,60921
模糊背景,blurry background,60868
玫瑰,rose,60714
脚超出边界,feet out of frame,60503
博丽灵梦,hakurei reimu,60243
帽子,headgear,59789
手牵手,holding hands,59730
床单,bed sheet,59661
假动物耳朵,fake animal ears,59603
扫刘海,swept bangs,59590
链,chain,59553
胡子,facial hair,59371
6个以上的女孩,6+girls,59289
兄弟姐妹,siblings,59157
高领毛衣,turtleneck,58998
鸟,bird,58948
耳机,headphones,58922
海洋,ocean,58865
有色皮肤,colored skin,58337
手臂支撑,arm support,57821
伞,umbrella,57600
异色症,heterochromia,57451
低双马尾,low twintails,57330
吊带衫,halter top,57289
动物,animal,57258
皱眉,frown,57025
贝雷帽,beret,56988
长筒靴,thigh boots,56543
叶子,leaf,56348
尴尬的,embarrassed,56127
观点,pov,55849
一侧朝上,one side up,55727
背部,back,55550
雾雨魔理沙,kirisame marisa,55498
在床上,on bed,55392
从上面（看）,from above,55370
吊袜带,garter straps,55251
水印,watermark,55190
白色头饰,white headwear,55179
透过大腿可见屁股,ass visible through thighs,55126
fangs,fangs,54947
蓝色背景,blue background,54522
非网络来源,non-web source,54429
透明背景,transparent background,54045
高腿,highleg,53992
白色比基尼,white bikini,53835
在一边,on side,53819
格子裙,plaid skirt,53804
瘢痕,scar,53803
魔法少女小圆,mahou shoujo madoka magica,53576
传统媒体,traditional media,53516
嘴唇含着（东西）,mouth hold,53479
瓦里萨,wariza,53449
戏仿,parody,53372
海滩,beach,53281
椅子,chair,53119
卷发,wavy hair,52960
蓝色蝴蝶结,blue bow,52864
发管,hair tubes,52839
面部标记,facial mark,52739
绷带,bandages,52668
看向别处,looking away,52630
上牙,upper teeth,52615
被禁止的画师,banned artist,52523
女性阴毛,female pubic hair,52496
腮红贴纸,blush stickers,52383
钻头发型,drill hair,52114
提起衬衫,shirt lift,52073
面无表情,expressionless,51941
中国服装,chinese clothes,51778
黑色项链,black choker,51660
带,obi,51415
抓住胸部,grabbing,51301
棕色鞋类,brown footwear,51265
手臂在背后,arms behind back,51102
在吃东西,eating,51025
连裤袜,pantyshot,50634
没有鞋子,no shoes,50575
拉下衣服,clothes pull,50568
裸照,topless,50567
拿着剑,holding sword,50491
心形瞳孔,heart-shaped pupils,50359
大腿间隙,thigh gap,50310
粗壮的大腿,thick thighs,50210
短裙,short dress,49854
鞋底,soles,49822
往下看,looking down,49698
火焰纹章,fire emblem,49626
提起短裙,skirt lift,49608
电话,phone,49572
魔法少女,magical girl,49541
眼罩,eyepatch,49445
毛绒玩具,stuffed toy,49145
碎花,floral print,49135
边框,bound,49082
波浪嘴,wavy mouth,48870
双臂交叉,crossed arms,48735
飞扬的汗珠,flying sweatdrops,48735
少女与战车,girls und panzer,48696
仅符号注释,symbol-only commentary,48685
爱与演唱会！,love live!,48342
进气口发型（M形发型）,hair intakes,48335
黑色短裤,black shorts,48229
边界,border,47983
花花公子兔子,playboy bunny,47981
月亮,moon,47961
正式的,formal,47928
冲孔,piercing,47876
腹肌,abs,47603
覆盖,cover,47435
抬腿,leg up,47385
凉鞋,sandals,47225
从下面看（看）,from below,47088
半闭眼,half-closed eyes,46959
乳沟切口,cleavage cutout,46944
阳光,sunlight,46896
勃起,erection,46853
桌子,table,46792
单发髻,single hair bun,46753
黑色裤子,black pants,46570
口服,oral,46314
快乐的,happy,46225
红色连衣裙,red dress,46215
猫,cat,45864
只穿内衣,underwear only,45663
蹲着,squatting,45575
发箍,scrunchie,45426
粉色背景,pink background,45380
学校泳装,school swimsuit,45255
太阳镜,sunglasses,45181
睾丸,testicles,44794
性虐待,bdsm,44705
精液在身体上,cum on body,44658
西装外套,blazer,44278
暴民帽,mob cap,44254
发抖,trembling,44229
白色鞋类,white footwear,43972
皮肤黝黑的男性,dark-skinned male,43966
戒指,ring,43793
睡眠,sleeping,43667
游戏cg,game cg,43512
土狼耳朵,coyote ears,43418
背包,backpack,43071
单腿站立,standing on one leg,42954
女式内衣,lingerie,42912
及膝靴,knee boots,42856
眼睛透过头发可见,eyes visible through hair,42816
帽子丝带,hat ribbon,42795
最终幻想,final fantasy,42764
光环,halo,42671
部分评论,partial commentary,42573
浅棕色头发,light brown hair,42522
抓住胸部,breast grab,42513
武士刀,katana,42464
填充动物玩具,stuffed animal,42399
浓浓的眉毛,thick eyebrows,42316
妹妹头,bob cut,42315
少女前线,girls' frontline,42259
蝙蝠翅膀,bat wings,42233
开襟衫,cardigan,42169
;d,;d,42130
恶魔少女,demon girl,42126
韩国评论,korean commentary,42043
双腿交叉,crossed legs,41965
褶边连衣裙,frilled dress,41914
吊带,suspenders,41898
中文评论,chinese commentary,41882
白色短裙,white skirt,41774
雷米利亚猩红,remilia scarlet,41745
3个男孩,3boys,41679
头盔,helmet,41554
白色夹克,white jacket,41329
天线头发,antenna hair,41238
放下兜帽,hood down,41152
多云的天空,cloudy sky,41126
伸出双臂,outstretched arms,41102
手机,cellphone,40792
波尔卡圆点,polka dot,40714
叉,cross,40680
哭,crying,40666
背心,tank top,40630
瓶子,bottle,40473
虫,bug,40384
5个女孩,5girls,40374
脱衣服,undressing,40362
草,grass,40318
交叉,crossover,40269
火,fire,40058
弯腰,bent over,40036
王冠,crown,40020
羽毛,feathers,39951
西装,suit,39879
头饰,tiara,39809
浅笑,light smile,39748
褶边半身裙,frilled skirt,39724
露出胸部,breasts out,39693
高马尾辫,high ponytail,39623
刀,knife,39574
胸肌,pectorals,39542
夫妻,couple,39482
眉毛,eyebrows,39325
往上看,looking up,39322
牛仔布,denim,39219
拿着食物,holding food,39208
双手合一,own hands together,39206
动画,animated,39140
>_<,>_<,39016
跨越,straddling,39016
毛茸茸的,hair bobbles,39015
X 发饰,x hair ornament,38970
翼领,wing collar,38875
白色蝴蝶结,white bow,38861
在肚子上,on stomach,38773
乳晕,areolae,38762
植物,plant,38524
黑色发带,black hairband,38455
弗兰德·猩红色,flandre scarlet,38441
蓝色衬衫,blue shirt,38268
棕褐色,tan,38222
口红,lipstick,38221
伸出手臂,outstretched arm,38166
捆绑,bondage,37972
十六夜咲夜,izayoi sakuya,37912
短双马尾,short twintails,37875
口交,fellatio,37797
马耳朵,horse ears,37610
机器人,robot,37508
预固化,precure,37312
蓝色丝带,blue ribbon,37293
上面的女孩,girl on top,37050
窗帘,curtains,37044
白色的花,white flower,36964
自己举起,lifted by self,36916
指点,pointing,36846
动物印花,animal print,36825
怪物女孩,monster girl,36706
长柄武器,polearm,36702
肌肉男,muscular male,36560
修订,revision,36455
^^^,^^^,36438
粉色蝴蝶结,pink bow,36406
狭缝瞳孔,slit pupils,36340
朱丽叶袖子,juliet sleeves,36304
四肢着地,all fours,36207
姐妹,sisters,36163
从背后做爱,sex from behind,36162
猫女,cat girl,36135
新月,crescent,35913
刺猬头,spiked hair,35902
赛马娘,umamusume,35858
碧蓝幻想,granblue fantasy,35818
职员,staff,35672
手放在自己的胸口,hand on own chest,35514
蓝色水手领,blue sailor collar,35448
拉下内裤,panty pull,35430
樱花盛开,cherry blossoms,35318
褶边袖子,frilled sleeves,35060
女式衬衫,blouse,35058
锋利的牙齿,sharp teeth,35017
红色领带,red necktie,34985
?,?,34965
JoJo的奇妙冒险,jojo no kimyou na bouken,34893
封面,cover page,34556
蓝色夹克,blue jacket,34533
白色的膝盖,white kneehighs,34530
毛巾,towel,34506
咬紧牙齿,clenched teeth,34443
阴影面,shaded face,34440
风,wind,34360
风镜,goggles,34277
随意的,casual,34253
自行车短裤,bike shorts,34243
伪娘,otoko no ko,34242
地面车辆,ground vehicle,34084
黑色背景,black background,34081
胸针,brooch,34056
头翼,head wings,34042
绿色短裙,green skirt,34039
乐福鞋（便鞋）,loafers,33900
护手,gauntlets,33858
精灵,elf,33658
粉色内裤,pink panties,33658
没有裤子,no pants,33627
命运之夜,fate/stay night,33474
T恤,t-shirt,33474
红色的花,red flower,33318
黑色胸罩,black bra,33218
条纹内裤,striped panties,33132
多尾,multiple tails,33042
建筑学,building,32940
腕带,wristband,32893
肩甲,shoulder armor,32842
吻,kiss,32793
恶魔角,demon horns,32782
狐狸女孩,fox girl,32711
胸部之间,between breasts,32633
按着胸部,breast press,32607
吓了一跳,startled,32551
单大腿高,single thighhigh,32501
凌乱的头发,messy hair,32467
运动线,motion lines,32379
帽子蝴蝶结,hat bow,32288
鞘,sheath,32130
蝴蝶,butterfly,32106
孩子,child,31959
兽娘动物园（动物朋友）,kemono friends,31946
裙子套装,skirt set,31892
丝带饰边,ribbon trim,31696
黑色过膝袜,black kneehighs,31686
群交,group sex,31667
第三只眼睛,third eye,31551
字符请求,character request,31491
乐器,instrument,31468
兔尾,rabbit tail,31420
信箱,letterboxed,31376
流口水,drooling,31371
握紧一只手,clenched hand,31316
袴,hakama,31316
盒子,box,31213
运动鞋,sneakers,31150
苍白的肤色,pale skin,31149
性玩具,sex toy,31145
红色衬衫,red shirt,31107
音符,musical note,31080
红色的鞋,red footwear,31068
海军上将（坎科尔）,admiral (kancolle),31041
宝石,gem,30987
渔网袜,fishnets,30907
马娘,horse girl,30889
流苏,tassel,30800
湿衣服,wet clothes,30771
侧系内裤,side-tie panties,30688
红色领结,red bowtie,30656
性别互换,genderswap,30654
暴露的服装,revealing clothes,30634
覆盖,covering,30545
面部的,facial,30460
预先性,foreshortening,30411
糖果,candy,30400
偶像大师（经典）,idolmaster (classic),30351
自然,nature,30269
适应的的服装,adapted costume,30240
肛门,anal,30212
穿耳洞,ear piercing,30154
粉色连衣裙,pink dress,30103
蒸汽,steam,30085
星星（天空）,star (sky),30067
狗耳朵,dog ears,30060
尖顶帽,peaked cap,29880
恶魔尾巴,demon tail,29795
肖像,portrait,29650
臂章,armband,29602
复制,duplicate,29583
风景,scenery,29575
自带打码,convenient censoring,29525
腰围裙,waist apron,29502
拿着枪,holding gun,29370
artoria pendragon (命运),artoria pendragon (fate),29313
呼吸,breath,29295
蕾丝饰边,lace trim,29223
夜空,night sky,29166
射精,ejaculation,29151
旗袍,china dress,29054
爱丽丝·玛格丽德,alice margatroid,29036
东金帽子,tokin hat,28891
东风谷早苗,kochiya sanae,28874
手臂在脑后,arms behind head,28673
爱与演唱会！学园偶像计划,love live! school idol project,28629
高达,gundam,28606
广香知识,patchouli knowledge,28590
蕾丝,lace,28581
长椅,couch,28580
十指相扣,interlocked fingers,28579
面纱,veil,28527
黑色指甲,black nails,28512
绳索,rope,28478
前领带上衣,front-tie top,28440
巴拉,bara,28426
麦克风,microphone,28340
创可贴,bandaid,28293
男性阴毛,male pubic hair,28289
袴裙,hakama skirt,28267
蝴蝶结内裤,bow panties,28248
手扇,hand fan,28221
碧蓝档案,blue archive,28195
白色围裙,white apron,28089
嘴下有痣,mole under mouth,28040
新娘手套,bridal gauntlets,28023
露肩礼服,strapless dress,28002
彩虹社,nijisanji,27952
没有帽子,no hat,27916
yaoi,yaoi,27904
机甲,mecha,27870
发光的眼睛,glowing eyes,27855
愤怒的静脉,anger vein,27789
拿着杯子,holding cup,27710
魂魄妖梦,konpaku youmu,27692
带字服装,clothes writing,27650
...,...,27548
仅比基尼上衣,bikini top only,27548
白色丝带,white ribbon,27533
黑色紧身衣,black leotard,27471
叮铃铃,jingle bell,27464
奇诺,cirno,27414
乳房分开,breasts apart,27352
棒球帽,baseball cap,27349
毛瓣,hair flaps,27202
细绳比基尼,string bikini,27180
头发过肩,hair over shoulder,27179
精液在乳房上,cum on breasts,27098
撕裂的裤袜,torn legwear,27078
双钻,twin drills,27054
直发,straight hair,27046
皮肤紧绷,skin tight,26995
:<,:<,26950
黄色背景,yellow background,26840
网址,web address,26801
半框眼镜,semi-rimless eyewear,26773
生气的,angry,26637
连帽夹克,hooded jacket,26603
羽翼,feathered wings,26537
淡紫色头发,light purple hair,26496
检查翻译,check translation,26466
八云紫,yakumo yukari,26435
机动车,motor vehicle,26340
圣诞节,christmas,26286
面对观众,facing viewer,26253
披风,cloak,26101
土狼尾巴,coyote tail,26079
携带,carrying,26030
侧辫,side braid,25952
紧身胸衣,corset,25940
头戴眼镜,eyewear on head,25923
爪子,claws,25920
微型比基尼,micro bikini,25895
光粒子,light particles,25860
红色指甲,red nails,25847
玛丽简斯,mary janes,25749
多个阴茎,multiple penises,25616
骨盆帘,pelvic curtain,25579
屈膝,knees up,25541
红色背景,red background,25531
坏链接,bad link,25521
去皮,tareme,25509
红色头饰,red headwear,25490
触手,tentacles,25487
步枪,rifle,25429
食指抬起,index finger raised,25398
紫色连衣裙,purple dress,25303
:p,:p,25247
弹丸论巴（系列）,danganronpa (series),25231
手机,smartphone,25195
胡须,beard,25191
扒开衣服,clothing aside,25164
竖条纹,vertical stripes,25106
单喇叭,single horn,24979
水灵的瞳孔,bright pupils,24952
乳交,paizuri,24940
五彩的服装,multicolored clothes,24897
灰色衬衫,grey shirt,24890
皮带滑动,strap slip,24852
红色领巾,red neckerchief,24801
手抵着嘴,finger to mouth,24750
舔,licking,24709
特写,close-up,24595
浮肿的乳头,puffy nipples,24570
长发短发,short hair with long locks,24495
条纹长筒袜,striped thighhighs,24494
额外的耳朵,extra ears,24457
雪,snow,24428
鹤舞,tsurime,24410
雌雄同体的,androgynous,24280
扣子,buckle,24276
黑色领带,black necktie,24257
脸上的疤痕,scar on face,24244
法国辫子,french braid,24242
条纹裤,striped legwear,24198
红色夹克,red jacket,24132
白色边框,white border,24126
满月,full moon,24117
颈铃,neck bell,24093
超短裙,upskirt,24043
眼神交流,eye contact,24014
脸,face,24002
古明地恋,komeiji koishi,23981
两色背景,two-tone background,23940
前额,forehead,23903
绒球（衣服）,pom pom (clothes),23859
精神分裂症,seiza,23794
隐约可见的乳晕,areola slip,23727
黄色蝴蝶结,yellow bow,23666
蓝色比基尼,blue bikini,23625
剧透,spoilers,23624
性别互换（MTF）,genderswap (mtf),23590
镜头光晕,lens flare,23585
粉色的花,pink flower,23436
毛茸茸的,furry,23385
礼物,gift,23347
臂章,armlet,23185
羞丸绫,shameimaru aya,23086
粉色指甲,pink nails,23061
双腿之间,between legs,23055
钉,spikes,23052
吊坠,pendant,23043
深海船,abyssal ship,23040
涉水,wading,23031
手放在自己的脸上,hand on own face,23005
侧开衩,side slit,22993
有另外一个人,1other,22942
双重人格,dual persona,22931
手枪,handgun,22890
桌子,desk,22846
吊带背心,camisole,22841
hololive english,hololive english,22766
手淫,masturbation,22662
酒精,alcohol,22552
棕色手套,brown gloves,22542
盘子,plate,22509
克制的,restrained,22447
开！,k-on!,22410
绿色蝴蝶结,green bow,22382
罗纹毛衣,ribbed sweater,22335
交叉系带鞋,cross-laced footwear,22307
性爱后,after sex,22294
扫帚,broom,22293
打手枪,handjob,22274
不露面,faceless,22248
袖子卷起,sleeves rolled up,22202
O形圈,o-ring,22199
皮牙,skin fang,22180
弯曲的,curvy,22176
圣诞老人帽子,santa hat,22151
说话的心,spoken heart,22108
沉重的呼吸,heavy breathing,22086
球,ball,22079
发圈,hair scrunchie,21996
女仆围裙,maid apron,21990
托着胸部,breast hold,21957
玻璃杯,drinking glass,21937
眼影,eyeshadow,21871
藤原妹红,fujiwara no mokou,21848
马尾,horse tail,21784
灰色短裙,grey skirt,21746
拟人化,personification,21737
角色,persona,21708
头饰被移除,headwear removed,21705
低马尾辫,low ponytail,21659
铃仙·优昙华院·因幡,reisen udongein inaba,21643
同人封面,doujin cover,21622
女牛仔位置,cowgirl position,21613
机械,machinery,21583
森林,forest,21579
拉起连衣裙,dress lift,21572
红色手套,red gloves,21564
握紧两只手,clenched hands,21546
托盘,tray,21530
耳机,headset,21518
部分淹没,partially submerged,21371
驼色系,tanlines,21366
没画腿,cropped legs,21333
jpeg 工件,jpeg artifacts,21332
拉链,zipper,21290
高跟鞋,high heel boots,21279
漂浮的,floating,21246
抽烟,smoke,21181
双腿向上,legs up,21136
逆光,backlighting,21132
宽臀,wide hips,21100
铅笔裙,pencil skirt,21064
鱼,fish,21051
低扎长发,low-tied long hair,21024
蓝色头饰,blue headwear,21008
单手套,single glove,21000
毛衣背心,sweater vest,21000
抒情的纳米叶,lyrical nanoha,20981
红梅,hong meiling,20977
大胸肌,large pectorals,20958
发环,hair rings,20938
粉色短裙,pink skirt,20871
半髻,half updo,20844
新世纪福音战士,neon genesis evangelion,20843
反射,reflection,20841
飞行,flying,20835
高腿紧身衣,highleg leotard,20827
戴上兜帽,hood up,20761
斑点颜色,spot color,20747
连裤袜下的内裤,panties under pantyhose,20745
非传统巫女,nontraditional miko,20727
kemonomimi mode,kemonomimi mode,20724
水手服,sailor dress,20684
手臂在背后,arm behind back,20650
雀斑,freckles,20650
星空,starry sky,20641
穿着衣服性交,clothed sex,20627
白色胸罩,white bra,20617
明美小村,akemi homura,20582
不对称紧身裤,asymmetrical legwear,20565
拿着书,holding book,20435
生日快乐,happy birthday,20430
手臂在侧面,arm at side,20414
撕毁,tearing up,20405
手指藏在袖子里面,sleeves past fingers,20381
棕色背景,brown background,20380
彩色巩膜,colored sclera,20362
