cn	en	nums
格子	plaid	15296
胸罩	bra	15271
巨大的乳房	huge_breasts	15093
漂浮的头发	floating_hair	15072
头倾斜	head_tilt	15045
上牙	upper_teeth	15038
大腿皮带	thigh_strap	14962
叶子	leaf	14738
白色头饰	white_headwear	14598
裸露的腿	bare_legs	14579
服装切口	clothing_cutout	14420
弄湿	wet	14378
手腕袖口	wrist_cuffs	14355
阴影	shadow	14349
褶皱袖子	frilled_sleeves	14335
皮草饰边	fur_trim	14207
抬起衣服	clothes_lift	14031
脚	feet	13946
有孔的	piercing	13940
臀部	hand_on_hip	13940
女佣	maid	13815
短裤	short_shorts	13791
透明	see-through	13739
多云的天空	cloudy_sky	13737
红色裙子	red_skirt	13735
景深	depth_of_field	13723
命运/冠位指定	fate/grand_order	13722
建筑	building	13666
鸟	bird	13661
银发	silver_hair	13642
毫无表情	expressionless	13635
边框	border	13574
黑色发带	black_hairband	13533
黑色腿衣	black_legwear	13516
水上的眼睛	aqua_eyes	13453
眼睛下方的痣	mole_under_eye	13427
偶像大师	idolmaster	13420
无袖连衣裙	sleeveless_dress	13359
草	grass	13303
张开腿	spread_legs	13288
第三只眼睛	third_eye	13194
盔甲	armor	13188
符号形瞳孔	symbol-shaped_pupils	13179
席卷刘海	swept_bangs	13164
深色皮肤的女性	dark-skinned_female	13152
无肩带	strapless	13143
嘴唇	lips	13063
白夹克	white_jacket	13045
褶皱裙子	frilled_skirt	12988
遮盖的肚脐	covered_navel	12916
枪支	gun	12901
棕色鞋类	brown_footwear	12882
阳光	sunlight	12801
头发两边扎起	two_side_up	12757
书	book	12726
蓝色背景	blue_background	12700
黑色比基尼	black_bikini	12698
白色内裤	white_panties	12697
多个尾巴	multiple_tails	12572
草图	sketch	12570
火花	sparkle	12487
海洋	ocean	12420
V字手势	v	12418
礼服衬衫	dress_shirt	12409
黑色短裤	black_shorts	12361
连帽衫	hoodie	12339
水果	fruit	12333
腹股沟	groin	12318
卷发	wavy_hair	12296
碎花	floral_print	12286
头巾女帽	mob_cap	12149
白袜子	white_socks	12135
拿着剑	holding_sword	12097
眼泪	tears	12097
帽子丝带	hat_ribbon	12089
脚趾	toes	12024
绿色的裙子	green_skirt	11975
马尾巴	horse_tail	11889
褶皱连衣裙	frilled_dress	11872
多个男孩	multiple_boys	11862
假动物耳朵	fake_animal_ears	11837
独立的衣领	detached_collar	11770
玫瑰	rose	11714
纹身	tattoo	11679
弹药	skindentation	11652
黑裤子	black_pants	11649
植物	plant	11626
伞	umbrella	11440
蓝衬衫	blue_shirt	11374
面具	mask	11365
看着	looking_away	11357
铃铛	bell	11353
侧马尾辫	side_ponytail	11348
平坦的胸部	flat_chest	11259
白蝴蝶结	white_bow	11189
绝对领域	zettai_ryouiki	11183
膝盖	kneehighs	11167
眼睛可以通过头发看到	eyes_visible_through_hair	11086
遮盖的乳头	covered_nipples	11005
肖像	portrait	10983
碧蓝航线	azur_lane	10974
改变发型	alternate_hairstyle	10921
白色的花	white_flower	10915
穿耳洞	ear_piercing	10911
流苏	tassel	10903
轮廓	profile	10890
黑色内裤	black_panties	10839
完全裸体	completely_nude	10794
发光	glowing	10713
团子头	double_bun	10704
单辫子	single_braid	10685
杂色	heterochromia	10615
黑色背景	black_background	10554
向前倾斜	leaning_forward	10537
一件泳衣	one-piece_swimsuit	10513
荷兰角	dutch_angle	10468
vocaloid	vocaloid	10459
白色裙子	white_skirt	10373
自然的	nature	10361
角色扮演	cosplay	10345
枕头	pillow	10340
白色鞋类	white_footwear	10321
中国衣服	chinese_clothes	10300
紧身衣裤	bodysuit	10290
往下看	looking_down	10289
狐娘	fox_girl	10269
非自然颜色的皮肤	colored_skin	10248
Sideboob	sideboob	10234
白色腿衣	white_legwear	10201
红色礼服	red_dress	10181
妹妹头	bob_cut	10106
彩虹社	nijisanji	10096
绕颈系带服装	halterneck	10091
女式衬衫	blouse	10090
格子裙	plaid_skirt	9907
高领	turtleneck	9904
动物	animal	9872
化妆品	makeup	9843
Hololive English	hololive_english	9837
显腿长的	highleg	9794
拿着食物	holding_food	9649
制服	uniform	9608
尖牙	fangs	9578
血液	blood	9573
红领带	red_necktie	9550
椅子	chair	9543
引擎盖下	hood_down	9488
海滩	beach	9488
翼领	wing_collar	9481
低马尾	low_twintails	9443
啦啦队花球	pom_pom	9397
褶皱的衬衫项圈	frilled_shirt_collar	9387
肌肉	muscular	9343
红色领结	red_bowtie	9244
摄入头发	hair_intakes	9200
大腿厚	thick_thighs	9182
朱丽叶袖子	juliet_sleeves	9181
白色围裙	white_apron	9180
水发	aqua_hair	9177
腿	legs	9173
吊带	suspenders	9170
戒指	ring	9151
双手合一	own_hands_together	9084
欧比	obi	9049
猫娘	cat_girl	9037
月亮	moon	9033
白色比基尼	white_bikini	9030
粉红色背景	pink_background	9014
撕裂的衣服	torn_clothes	9003
从上面	from_above	8956
皱眉	frown	8928
蓝色外套	blue_jacket	8925
短裙	short_dress	8861
半闭眼的眼睛	half-closed_eyes	8830
白色边界	white_border	8790
古明地恋	komeiji_koishi	8779
浅棕色的头发	light_brown_hair	8767
电话	phone	8688
花花公子兔子	playboy_bunny	8655
桌子	table	8643
传统媒体	traditional_media	8602
黑色指甲	black_nails	8591
闪亮的皮肤	shiny_skin	8556
贝雷帽	beret	8511
恶魔角	demon_horns	8491
女巫帽子	witch_hat	8450
红色鞋子	red_footwear	8440
鞋底	soles	8428
侧绑比基尼底部	side-tie_bikini_bottom	8427
夜空	night_sky	8341
光脚	no_shoes	8319
发管	hair_tubes	8316
浓浓的眉毛	thick_eyebrows	8301
快乐的	happy	8272
战袍	tabard	8253
明亮的瞳孔	bright_pupils	8211
初音未来	hatsune_miku	8181
红花	red_flower	8150
黄色衬衫	yellow_shirt	8137
裙子套装	skirt_set	8131
鼻子脸红	nose_blush	8117
光颗粒	light_particles	8108
在床上	on_bed	8077
抬头	looking_up	8056
蓬松的长袖	puffy_long_sleeves	8041
4个女孩	4girls	8023
单腿站立	standing_on_one_leg	8018
背部	back	7989
帽子蝴蝶结	hat_bow	7936
蓝丝带	blue_ribbon	7932
跪着	kneeling	7932
手臂支撑	arm_support	7928
大腿可见屁股	ass_visible_through_thighs	7923
太阳镜	sunglasses	7898
蹲	squatting	7857
面部标记	facial_mark	7821
眉毛被头发隐藏	eyebrows_hidden_by_hair	7815
伸出胳膊	outstretched_arms	7805
一侧向上	one_side_up	7805
疤痕	scar	7780
火	fire	7769
从下面	from_below	7757
狭缝瞳孔	slit_pupils	7714
版权名称	copyright_name	7710
背后的手臂	arms_behind_back	7691
红色衬衫	red_shirt	7687
刀	knife	7667
虫	bug	7634
吊袜带皮带	garter_straps	7630
丝带饰边	ribbon_trim	7628
骆驼	cameltoe	7598
彩色衣服	multicolored_clothes	7578
背包	backpack	7568
尴尬的	embarrassed	7568
开衬衫	open_shirt	7567
轻脸红	light_blush	7518
笑脸	^_^	7509
皮肤牙	skin_fang	7508
灰色衬衫	grey_shirt	7493
手持杯子	holding_cup	7485
红色指甲	red_nails	7466
交叉的腿	crossed_legs	7426
抬腿	leg_up	7419
拿着枪	holding_gun	7383
链	chain	7354
底板	underboob	7347
适应的服装	adapted_costume	7340
轻笑	light_smile	7308
瓶子	bottle	7301
古明地觉	komeiji_satori	7298
樱花	cherry_blossoms	7283
魂魄妖梦	konpaku_youmu	7206
Wariza	wariza	7206
羽毛	feathers	7193
琪露诺	cirno	7184
额外的耳朵	extra_ears	7178
毛绒玩具	stuffed_toy	7171
绷带	bandages	7143
吃	eating	7140
森林	forest	7133
切割切割	cleavage_cutout	7116
透明背景	transparent_background	7108
X发饰	x_hair_ornament	7091
由自我提升	lifted_by_self	7059
白色袖子	white_sleeves	7055
头巾	headband	6988
心形瞳孔	heart-shaped_pupils	6951
红色头饰	red_headwear	6949
脸红贴纸	blush_stickers	6926
不戴胸罩	no_bra	6924
紫色连衣裙	purple_dress	6922
恶魔女孩	demon_girl	6910
猫	cat	6908
黄色蝴蝶结	yellow_bow	6904
锋利的牙齿	sharp_teeth	6901
一边	on_side	6892
地面车辆	ground_vehicle	6880
水印	watermark	6829
暨	cum	6826
山	mountain	6824
黑色袜子	black_socks	6821
凉鞋	sandals	6800
大腿缝隙	thigh_gap	6769
一小时绘画挑战	one-hour_drawing_challenge	6768
射命丸文	shameimaru_aya	6765
冰	ice	6744
最终幻想	final_fantasy	6736
交叉的手臂	crossed_arms	6727
八云紫	yakumo_yukari	6727
八云蓝	yakumo_ran	6716
嘴巴保持	mouth_hold	6713
十六夜咲夜	izayoi_sakuya	6713
粉红色的花	pink_flower	6711
单耳环	single_earring	6710
运动鞋	sneakers	6700
床	bed	6674
肛门	anus	6669
Tokin帽子	tokin_hat	6666
直发	straight_hair	6656
金饰	gold_trim	6640
腹肌	abs	6623
窗帘	curtains	6619
肌肉雄性	muscular_male	6605
开襟衫	cardigan	6593
单团子头	single_hair_bun	6586
爱丽丝玛格丽德	alice_margatroid	6585
腰围裙	waist_apron	6572
伸出手臂	outstretched_arm	6562
女仆围裙	maid_apron	6561
黑色领带	black_necktie	6556
阴茎	penis	6555
黑色紧身连衣裤	black_leotard	6548
风	wind	6542
胸	hand_on_own_chest	6538
床单	bed_sheet	6514
蓝色头饰	blue_headwear	6509
粉红色的裙子	pink_skirt	6498
东风谷早苗	kochiya_sanae	6491
耳机	headphones	6458
羽毛翅膀	feathered_wings	6431
卡塔纳	katana	6427
红色背景	red_background	6422
反射	reflection	6415
蓝色指甲	blue_nails	6412
蓝色水手领	blue_sailor_collar	6408
星空	starry_sky	6396
大腿靴子	thigh_boots	6392
西装外套	blazer	6392
铃仙·优昙华院·因幡	reisen_udongein_inaba	6391
军队	military	6390
连帽外套	hooded_jacket	6380
狼耳	wolf_ears	6369
城市	city	6365
蝴蝶	butterfly	6348
手机	cellphone	6328
宝石	gem	6324
藤原妹红	fujiwara_no_mokou	6316
动物印花	animal_print	6315
鼠标耳朵	mouse_ears	6310
马赛克审查	mosaic_censoring	6295
2个男孩	2boys	6223
白色瞳孔	white_pupils	6202
机器人	robot	6172
叉	cross	6171
正式的	formal	6086
六个以上女孩	6+girls	6069
黄色丝带	yellow_ribbon	6057
爱液	pussy_juice	6054
阴毛	pubic_hair	6051
偶像大师	idolmaster_cinderella_girls	6041
胡子	facial_hair	6036
胸部	pectorals	6032
飞汗	flying_sweatdrops	6028
黄色背景	yellow_background	6023
头部翅膀	head_wings	6010
黑色领结	black_bowtie	5994
绿蝴蝶结	green_bow	5934
鞘	sheath	5920
袖子经过手指	sleeves_past_fingers	5905
独奏重点	solo_focus	5900
没有内裤	no_panties	5873
面对观众	facing_viewer	5871
黑色背心	black_vest	5863
绳子比基尼	string_bikini	5856
背心	tank_top	5832
露米娅	rumia	5828
抬起膝盖	knees_up	5817
凌乱的头发	messy_hair	5805
信箱	letterboxed	5804
边界外	outside_border	5796
便鞋	loafers	5768
比那名居天子	hinanawi_tenshi	5766
膝盖靴子	knee_boots	5765
日落	sunset	5742
短发长锁	short_hair_with_long_locks	5734
创可贴	bandaid	5726
黑色胸罩	black_bra	5725
POLEARM	polearm	5697
兄弟姐妹	siblings	5695
指向	pointing	5674
博丽灵梦	hakurei_reimu	5673
单大腿	single_thighhigh	5665
脖子铃	neck_bell	5663
披风	cloak	5653
封兽鵺	houjuu_nue	5647
钻头	drill_hair	5637
粉红色指甲	pink_nails	5634
风见幽香	kazami_yuuka	5634
粉红色裙子	pink_dress	5633
低马尾辫	low_ponytail	5609
牛仔布	denim	5609
红色外套	red_jacket	5588
牵着手	holding_hands	5579
水桥帕露西 	mizuhashi_parsee	5579
越过刘海	crossed_bangs	5577
哭	crying	5568
填充玩具动物	stuffed_animal	5539
头饰	tiara	5537
橙	chen	5534
眼镜头	eyewear_on_head	5516
粉红色蝴蝶结	pink_bow	5510
拥抱	hug	5472
灰色裙子	grey_skirt	5462
引擎盖向上	hood_up	5456
偶像大师闪耀色彩	idolmaster_shiny_colors	5450
胸针	brooch	5443
红色的脖子	red_neckerchief	5443
彩色内发	colored_inner_hair	5442
头盔	helmet	5428
渔网	fishnets	5428
波浪状的嘴	wavy_mouth	5423
黑带	black_belt	5413
蓝色的花	blue_flower	5411
兔子尾巴	rabbit_tail	5383
白丝带	white_ribbon	5376
恶魔尾巴	demon_tail	5366
冰翅	ice_wings	5335
漂浮的	floating	5333
盒子	box	5324
楼梯	stairs	5311
宽镜头	wide_shot	5310
唾液	saliva	5301
没有头饰	no_headwear	5297
Scrunchie	scrunchie	5279
头发戒指	hair_rings	5274
两色调背景	two-tone_background	5268
少女前线	girls'_frontline	5258
新月	crescent	5256
青蛙发饰	frog_hair_ornament	5242
毛茸茸	furry	5237
衣服拉	clothes_pull	5235
科幻小说	science_fiction	5226
火徽标	fire_emblem	5224
; d	;d	5208
背光	backlighting	5177
褶皱围裙	frilled_apron	5174
裙子升降机	skirt_lift	5170
前额	forehead	5168
黑翅	black_wings	5163
女性阴头	female_pubic_hair	5162
独立虚拟YouTuber	indie_virtual_youtuber	5143
天线头发	antenna_hair	5141
白色水手领	white_sailor_collar	5140
纳兹林	nazrin	5132
一只眼睛遮住了	one_eye_covered	5130
甘努	ganyu	5111
镜头光晕	lens_flare	5104
白色连裤袜	white_pantyhose	5100
Ofuda	ofuda	5099
步行	walking	5096
酒吧审查员	bar_censor	5080
摩托车	motor_vehicle	5070
拿着雨伞	holding_umbrella	5064
face	hand_on_own_face	5054
肩部装甲	shoulder_armor	5052
黑色水手领	black_sailor_collar	5034
编织的马尾辫	braided_ponytail	5032
眼球	eyeball	5029
绳索	rope	5028
未经审查	uncensored	5017
模糊前景	blurry_foreground	5016
玛丽·简斯	mary_janes	5014
无底	bottomless	5000
T恤	t-shirt	4999
套装	suit	4988
臂章	armband	4988
绿色连衣裙	green_dress	4986
武器在头后	arms_behind_head	4966
职员	staff	4963
军装	military_uniform	4957
手风扇	hand_fan	4954
王冠	crown	4951
路	road	4934
抱着书	holding_book	4933
食指抬起	index_finger_raised	4927
握住电话	holding_phone	4925
1其他	1other	4921
黑色外套	black_coat	4917
雪	snow	4916
蒸汽	steam	4886
红色背心	red_vest	4879
帽子	headgear	4879
紧握的手	clenched_hand	4875
在肚子上	on_stomach	4862
高马尾辫	high_ponytail	4851
巴拉	bara	4844
机甲	mecha	4841
灯笼	lantern	4841
弦的心脏	heart_of_string	4827
预先性	foreshortening	4814
面纱	veil	4805
耳朵后面的头发	hair_behind_ear	4801
睡眠	sleeping	4798
怪物女孩	monster_girl	4787
长椅	couch	4784
眼罩	eyepatch	4775
孩子	child	4752
不对称的翅膀	asymmetrical_wings	4752
高腰裙子	high-waist_skirt	4751
腕带	wristband	4749
紫色裙子	purple_skirt	4739
栏杆	railing	4726
蓝色领带	blue_necktie	4715
想象	vision	4706
骨盆窗帘	pelvic_curtain	4700
衬衫提升	shirt_lift	4697
圣白莲	hijiri_byakuren	4693
双臂在侧面	arm_at_side	4673
乐器	instrument	4670
黄色的阿斯科特	yellow_ascot	4663
帽子装饰	hat_ornament	4638
珠子	beads	4627
符号	sign	4624
无肩带紧身连衣裤	strapless_leotard	4621
？	?	4610
岩石	rock	4610
龙角	dragon_horns	4609
敞开的外套	open_coat	4606
姐妹	sisters	4601
城市景观	cityscape	4598
兽娘动物园	kemono_friends	4591
涉水	wading	4575
眼影	eyeshadow	4565
异性恋	hetero	4552
长指甲	long_fingernails	4541
湿衣服	wet_clothes	4541
手机	smartphone	4540
紫色蝴蝶结	purple_bow	4537
光线	light_rays	4534
肩膀上的头发	hair_over_shoulder	4534
边界	bound	4523
间谍过家家	spy_x_family	4520
覆盖	cover	4519
裁剪外套	cropped_jacket	4501
鼠标尾巴	mouse_tail	4494
盘子	plate	4488
狗耳	dog_ears	4465
LoveLive！	love_live!	4459
带状衬里的袖子	ribbon-trimmed_sleeves	4446
红色发带	red_hairband	4441
棕色的头饰	brown_headwear	4437
蛇发饰	snake_hair_ornament	4434
崩坏	honkai	4432
棕色手套	brown_gloves	4412
抽烟	smoke	4409
乳房上的痣	mole_on_breast	4398
长裙	long_skirt	4397
模仿	parody	4395
吊坠	pendant	4393
棕色背景	brown_background	4392
飞行	flying	4382
阴影的脸	shaded_face	4377
棕色连裤袜	brown_pantyhose	4358
哈卡马	hakama	4354
腿	cropped_legs	4354
地平线	horizon	4338
绿色背景	green_background	4331
雾雨魔理沙 	kirisame_marisa	4328
疤痕在脸上	scar_on_face	4328
5个女孩	5girls	4326
膝盖	knee_up	4313
黄花	yellow_flower	4304
发光的眼睛	glowing_eyes	4294
波尔卡圆点	polka_dot	4291
花边饰边	lace_trim	4289
发抖	trembling	4279
幻想	fantasy	4277
水杯	drinking_glass	4275
咬牙切齿	clenched_teeth	4267
雨	rain	4256
桃	peach	4252
心发装饰	heart_hair_ornament	4245
四格	4koma	4243
尖刺的头发	spiked_hair	4239
点鼻子	dot_nose	4237
紫色背景	purple_background	4221
随意的	casual	4218
毛巾	towel	4217
崩坏三	honkai_impact_3rd	4198
分支	branch	4187
风镜	goggles	4181
中国连衣裙	china_dress	4179
归种躯干	cropped_torso	4176
女儿	female_child	4172
满月	full_moon	4171
侧辫	side_braid	4170
领衣服	collared_dress	4157
水晶	crystal	4155
裸照	topless	4150
糖果	candy	4141
背后	arm_behind_back	4141
衣服写	clothes_writing	4139
高腿紧身连衣裤	highleg_leotard	4132
精灵	elf	4127
露出乳房	breasts_out	4123
鱼	fish	4106
露肩礼服	strapless_dress	4106
扣子	buckle	4105
棕色外套	brown_jacket	4102
微型比基尼	micro_bikini	4095
仅内衣	underwear_only	4089
苍白的肤色	pale_skin	4082
紧身胸衣	corset	4075
白色外套	white_coat	4064
粉红色衬衫	pink_shirt	4063
in	hand_in_own_hair	4063
老化	aged_down	4052
步枪	rifle	4034
彩色的眼睛	multicolored_eyes	4025
Tracen校服	tracen_school_uniform	4024
学校泳衣	school_swimsuit	4023
短马尾	short_twintails	4008
在乳房之间	between_breasts	4003
O形圈	o-ring	3991
> <	>_<	3976
紫色衬衫	purple_shirt	3970
露肩连衣裙	off-shoulder_dress	3968
露出衣服	revealing_clothes	3965
痣在嘴下	mole_under_mouth	3957
隐约可见的乳晕	areola_slip	3955
蓝色比基尼	blue_bikini	3952
发瓣	hair_flaps	3932
新娘手套	bridal_gauntlets	3923
褶皱比基尼	frilled_bikini	3921
绿色头饰	green_headwear	3919
彩色巩膜	colored_sclera	3907
蓝色鞋类	blue_footwear	3903
nijisanji en	nijisanji_en	3901
手臂后面	arm_behind_head	3900
棕褐色	tan	3894
部分淹没	partially_submerged	3882
交叉鞋类	cross-laced_footwear	3868
鸟翅膀	bird_wings	3858
衬裙	petticoat	3856
女孩和装甲	girls_und_panzer	3854
手指嘴巴	finger_to_mouth	3836
爪	claws	3830
白翅膀	white_wings	3820
替代乳房大小	alternate_breast_size	3803
麦克风	microphone	3796
紫花	purple_flower	3791
Pantyshot	pantyshot	3784
TRESS缎带	tress_ribbon	3775
口袋	pocket	3774
没有裤子	no_pants	3767
披肩	shawl	3766
黑色袖子	black_sleeves	3761
圆形眼镜	round_eyewear	3760
Seiza	seiza	3756
拿花	holding_flower	3753
高领	high_collar	3736
中心装饰	center_frills	3731
向日葵	sunflower	3710
水滴	water_drop	3702
Shiki Eiki	shiki_eiki	3699
白色和服	white_kimono	3697
蓝色短裤	blue_shorts	3683
托盘	tray	3673
绿色背心	green_vest	3672
最终幻想XIV	final_fantasy_xiv	3670
囚犯	enmaided	3665
侧身看	sideways_glance	3646
钉	spikes	3645
棕色裙子	brown_skirt	3644
面对	facing_away	3634
运动线	motion_lines	3627
桌子	desk	3622
法国辫子	french_braid	3621
跨界	crossover	3619
栅栏	fence	3609
粉红色缎带	pink_ribbon	3608
叮铃铃	jingle_bell	3607
气泡	bubble	3599
小袋	pouch	3594
蝙蝠的翅膀	bat_wings	3592
白色短裤	white_shorts	3592
yor briar	yor_briar	3584
模因	meme	3573
撕毁	tearing_up	3569
不对称的腿衣	asymmetrical_legwear	3566
光	light	3560
龙女孩	dragon_girl	3554
衬衫塞进去	shirt_tucked_in	3549
手中的手	hand_in_pocket	3548
弗兰德·猩红色	flandre_scarlet	3535
棒球帽	baseball_cap	3530
帽子花	hat_flower	3527
红色手套	red_gloves	3527
拉链	zipper	3525
黑色紧身衣裤	black_bodysuit	3520
脚趾甲	toenails	3516
废墟	ruins	3512
大纲	outline	3511
半圆形眼镜	semi-rimless_eyewear	3508
呼吸	breath	3507
